restaurant_name,location_name,street,city,state,zipcode,coordinate,google_place_id,Error?
Llama Inn,Williamsburg,50 Withers St,Brooklyn,NY,11211,0101000020E6100000D0B648B5D57C52C0338B147DD35B4440,ChIJD6vUMlpZwokRSFeGSBW_gvU,
Llama San,Llama San,359 6th Ave,New York,NY,10014,0101000020E61000008647397E0D8052C0BB8DED57C95D4440,ChIJ8youq41ZwokRqnnXghN1DIs,
Lobby Bar,Lobby Bar,20 W 29th St,New York,NY,10001,,ChIJ9Xkow4NZwokRRdEq8ppSDI4,
Lobster Roll Restaurant,Amagansett,1980 Montauk Hwy,Amagansett,NY,11930,0101000020E61000006F33709B040352C037255987A37F4440,ChIJQUcL2Tau6IkR6i135p0tVNo,
Lobster Roll Restaurant,Southampton,32 Montauk Hwy,Southampton,NY,11968,0101000020E6100000A135F570B81752C03E7B890C06734440,ChIJLTP91qaT6IkRKNx65swc0ks,
Local 42,Hell's Kitchen,574 9th Ave,New York,NY,10036,0101000020E6100000FEF09FDF887F52C013DFABEF06614440,ChIJA__4pVVZwokRCrAjVlE9BPE,
Local Roots,Market57,25 11th Ave Kiosk #5,New York,NY,10011,0101000020E6100000C10C1206978052C0EC6B11E9225F4440,ChIJOVrVlpJZwokRyWwXfTLLV3M,
Lodi,Midtown,1 Rockefeller Plaza,New York,NY,10020,0101000020E6100000A3CC89E3A67E52C03FC5E99D0B614440,ChIJtY_Cr9VZwokR86t_xHCuZjc,
Loring Place,Greenwich Village,21 W 8th St,New York,NY,10011,0101000020E61000009D6516A1D87F52C059A31EA2D15D4440,ChIJ69NaKJdZwokR3CamunXyYig,
Lost Cat Bar & Bites,Lost Cat Bar & Bites,587 Post St,San Francisco,CA,94102,0101000020E610000011EBE813549A5EC09852F245D6E44240,ChIJZTcP2_uBhYARQZBWBWXHrkE,
Lost Isle,Johns Island,3338 Maybank Hwy,Johns Island,SC,29455,0101000020E610000058C85C19540454C021020EA14A5D4040,ChIJlb-kF-9__ogRcmNJB2ScqhI,
Lovely's Old Fashioned,Hell's Kitchen,642 9th Ave,New York,NY,10036,0101000020E610000081B1A5D76B7F52C05495259956614440,ChIJd4_SnFJZwokRBeuZ-YwGaUw,
Lowland,French Quarter,36 George St,Charleston,SC,29401,0101000020E6100000CF9F36AAD3FB53C0DAC69FA86C644040,ChIJTTcM5Zx7_ogRlEKsvPVFWHM,
Lowlife,Folly Beach,106 E Hudson Ave,Folly Beach,SC,29439,0101000020E610000052D158FB3BFC53C0232D95B723544040,ChIJEVkJrRrX_YgRJZhpb4ZGxKw,
Lucky Tiger,Financial District,66 Pearl St,New York,NY,10004,0101000020E6100000EDD45C6EB08052C0E8EE84A80C5A4440,ChIJL8gCanlbwokRuOv6QWomh8A,
Lula Mae,Fort Greene,472 Myrtle Ave,Brooklyn,NY,11205,0101000020E61000001A6D5512D97D52C03B3602F1BA584440,ChIJi9R8lVJbwokRtKjPyX4YvnU,
Lulla,Chelsea,113 W 24th St,New York,NY,10011,0101000020E6100000BEA085048C7F52C00ABDFE243E5F4440,ChIJvTLKIr9ZwokRIBsYYKUY2DU,
Lume,West Village,259 West 4th Street,New York,NY,10014,0101000020E610000030BA1C92338052C0C651F7D4235E4440,ChIJN-YZAHNZwokRfCSd6SaZWUc,
L&W Market,Bridgehampton,2493 Montauk Hwy,Bridgehampton,NY,11932,0101000020E6100000E4D220F94B1352C0A5FE2A8FF3774440,ChIJ1T3NBZ5ZwokRH2TC_i4RUrs,
Ma'am Saab,Downtown Charleston,251 Meeting St,Charleston,SC,29401,0101000020E6100000925D6919A9FB53C0965F066344644040,ChIJXRzKDxl7_ogR-ESom4Gc2xY,
Madame Vo,East Village,212 E 10th St,New York,NY,10003,0101000020E6100000CE1951DA1B7F52C03ED00A0C595D4440,ChIJqRaETJxZwokRik6wrAXTOd4,
Madeline's,Greenpoint,113 Franklin St FC,Brooklyn,NY,11222,0101000020E61000007B56054E4C7D52C029D5E7627B5D4440,ChIJzSqlSxpZwokRnXgKKOO_yWE,
Mah-Ze-Dahr,Battery Park City,225 Liberty St,New York,NY,10281,0101000020E610000082C476F7008152C00821205F425B4440,ChIJU7XySD9bwokRzxnhM1S8uWw,
Maison May Kitchen,Fort Greene,246 DeKalb Ave,Brooklyn,NY,11205,0101000020E6100000EF2DF6A8097E52C070BCF1A43B584440,ChIJcdSBy8RbwokRiyAEVBOzxnc,
Maison Pickle,Upper West Side,2315 Broadway,New York,NY,10024,0101000020E6100000A7DA5D56977E52C0C874E8F4BC644440,ChIJrapahYZYwokRdCivYmoCbJ8,
Maison Sun,Boerum Hill,200-3 Schermerhorn St,Brooklyn,NY,11201,0101000020E61000005667107A117F52C0B3356CA521584440,ChIJVdRVFvZbwokRvTMvHpvu0PE,
MáLà Project,Bryant Park,41 W 46th St,New York,NY,10036,0101000020E610000045CD89F2BF7E52C0A3826F95E9604440,ChIJuyQyqf9YwokRSlObfXst7sQ,
MáLà Project,East Village,122 1st Ave.,New York,NY,10009,0101000020E610000083AE71850F7F52C0D5BB500F175D4440,ChIJM2NCGJ1ZwokRA2nCkZcz08g,
MáLà Project,Greenpoint,603 Manhattan Ave,Brooklyn,NY,11222,0101000020E61000005A811DAAD77C52C0E1AF8A19985C4440,ChIJlc0Qm1xZwokRREsqzm8pGg0,
MáLà Project,Midtown East,245 E 53rd St,New York,NY,10022,0101000020E610000011A22299ED7D52C09D96656AEE604440,ChIJc4JAM8hZwokRMyWkNxrTDN8,
Malika Canteen,Mt. Pleasant,1333 Theater Dr,Mt Pleasant,SC,29464,0101000020E610000039622D3E05F553C02F3201BF466A4040,ChIJe_xDGdlz_ogROqKNs3SQCTA,
