Deal Name,Company name,Address,google_places_id,"Macro Geo (NYC, SF, CHS, DC, LA, NASH, DEN)",Error?
Davey's Ice Cream Moynihan Train Hall,Davey’s Ice Cream (Midtown),,ChIJxwZzzNdZwokRMyNu9LzW1wM,NYC,
Crave Fishbar Upper West Side,Crave Fishbar UWS,945 2nd Ave,ChIJqztVA4ZYwokRiLK8Lzh7_sk,NYC,
Emmett's SoHo,Emmett's (MacDougal),50 MacDougal St,ChIJqxBUkY1ZwokRM-YtSwwhy1E,NYC,
Wild Common,Wild Common,"103 Spring St, Charleston, SC 29403",ChIJzUn6Qi17_ogRX1VX24enKTE,CHS,
Fish Cheeks Noho,Fish Cheeks,55 Bond St,ChIJgc7fPIVZwokRQMnqTxTf_Qk,NYC,
Bin Bin Sake Williamsburg,Sunday Hospitality,348 Wythe Avenue,ChIJKXGbJHBZwokR2dbFNdN0FBU,NYC,
Bin Bin Sake Williamsburg,Bin Bin Sake,29 Norman Ave,ChIJKXGbJHBZwokR2dbFNdN0FBU,NYC,
Le Rock Rockefeller Center,Le Rock,45 Rockefeller Plaza,ChIJNbTIf5BZwokRjbkuTrLZVB4,NYC,
Raf's SoHo,Raf's,290 Elizabeth Street,ChIJJU-UWk1ZwokRklDKrZ_9EZE,NYC,
Tolo,Parcelle Wine Bar Group,135 Division Street,ChIJQSKt-VdbwokRRPjIjPe6XEA,NYC,
Tolo,Tolo,"28 Canal St, New York, NY 10002",ChIJQSKt-VdbwokRRPjIjPe6XEA,NYC,
8282 Lower East Side,8282,84 Stanton Street,ChIJNaUIchtZwokRHI8Pk3mEz1Y,NYC,
Stars Restaurant Radcliffborough,Stars Rooftop & Grill Room,495 King Street,ChIJJxlYSGp6_ogRyfL8KDjhLkg,CHS,
The Wooly Nolita,The Wooly,11 Barclay Street,ChIJF_I2YsVZwokRp-Q1focBJpw,NYC,
Jaffa Williamsburg,Jaffa Cocktail and Raw Bar,,ChIJlcUv3XVZwokRw8iLyOoROxI,NYC,
Alidoro The Hugh,Alidoro The Hugh,,ChIJFa7a9uFZwokR1JWN1NOyzaM,NYC,
Albert's Bar Murray Hill,Albert’s Bar,140 E 41st St,ChIJTUnFcYpZwokRnDeckKVR3Nw,NYC,
The Palm Court at The Plaza Hotel Midtown,Palm Court at The Plaza,768 5th Ave,ChIJYaVdffBYwokRCwC_C_S-tbs,NYC,
Banzarbar Nolita,Banzarbar,191 Chrystie Street,ChIJU74O14VZwokRQ-wPmjfTERE,NYC,
Maison Premiere Williamsburg,Maison Premiere,298 Bedford Ave,ChIJW_WGT2BZwokRNpvZ4k3lVcs,NYC,
Gelso & Grand Gelso & Grand,Gelso & Grand,186 Grand St,ChIJS3EpUohZwokReLFKxxE_zKE,NYC,
Bonnie's Williamsburg,Bonnie's,398 Manhattan Ave,ChIJbQc9ABZZwokRMAK6C-Ekxg4,NYC,
